# Version 1.0
# DOI https://doi.org/10.1007/JHEP11%282018%29013
# Source https://www.hepdata.net/download/table/ins1657384/Table%208/1/yaml
# Experiment ALICE
# System PbPb5020
# Centrality 30-40
# XY PT RAA
# Label xmin xmax y stat,low stat,high sys,low sys,high 
0.15 0.2 0.277338 0.00019184 0.00019184 0.013814 0.013814
0.2 0.25 0.282159 0.00011301 0.00011301 0.0097546 0.0097546
0.25 0.3 0.292653 0.00010033 0.00010033 0.0087042 0.0087042
0.3 0.35 0.305382 9.8069e-05 9.8069e-05 0.0076966 0.0076966
0.35 0.4 0.318783 0.00010024 0.00010024 0.007851 0.007851
0.4 0.45 0.332856 0.00010503 0.00010503 0.0085079 0.0085079
0.45 0.5 0.347274 0.00011428 0.00011428 0.0091552 0.0091552
0.5 0.55 0.362188 0.00012716 0.00012716 0.0092016 0.0092016
0.55 0.6 0.377019 0.0001409 0.0001409 0.0088211 0.0088211
0.6 0.65 0.391104 0.00015735 0.00015735 0.0089423 0.0089423
0.65 0.7 0.404731 0.00017569 0.00017569 0.0090335 0.0090335
0.7 0.75 0.417996 0.00019488 0.00019488 0.0088771 0.0088771
0.75 0.8 0.43077 0.0002154 0.0002154 0.0088964 0.0088964
0.8 0.85 0.443014 0.00024141 0.00024141 0.0091697 0.0091697
0.85 0.9 0.454417 0.00026755 0.00026755 0.0086062 0.0086062
0.9 0.95 0.465517 0.00029015 0.00029015 0.0080378 0.0080378
0.95 1.0 0.475294 0.0003196 0.0003196 0.0083079 0.0083079
1.0 1.1 0.488134 0.00024945 0.00024945 0.0084611 0.0084611
1.1 1.2 0.504584 0.00028658 0.00028658 0.0086987 0.0086987
1.2 1.4 0.524538 0.00020124 0.00020124 0.0097395 0.0097395
1.4 1.6 0.546383 0.00024523 0.00024523 0.0112 0.0112
1.6 1.8 0.560118 0.00029878 0.00029878 0.012793 0.012793
1.8 2.0 0.565777 0.00034925 0.00034925 0.013478 0.013478
2.0 2.2 0.5656 0.00048714 0.00048714 0.014301 0.014301
2.2 2.4 0.559215 0.00056212 0.00056212 0.014218 0.014218
2.4 2.6 0.547201 0.00063293 0.00063293 0.014568 0.014568
2.6 2.8 0.531349 0.00068014 0.00068014 0.014424 0.014424
2.8 3.0 0.512259 0.0007541 0.0007541 0.01395 0.01395
3.0 3.2 0.492533 0.00083002 0.00083002 0.013931 0.013931
3.2 3.6 0.464106 0.00060208 0.00060208 0.013146 0.013146
3.6 4.0 0.422067 0.00069481 0.00069481 0.011826 0.011826
4.0 5.0 0.373652 0.00057271 0.00057271 0.0106 0.0106
5.0 6.0 0.322556 0.00081806 0.00081806 0.0079421 0.0079421
6.0 8.0 0.304813 0.00096027 0.00096027 0.0070499 0.0070499
8.0 10.0 0.323724 0.0019601 0.0019601 0.0080931 0.0080931
10.0 13.0 0.359381 0.0031945 0.0031945 0.011312 0.011312
13.0 20.0 0.414265 0.0054781 0.0054781 0.019481 0.019481
20.0 30.0 0.536475 0.017461 0.017461 0.033746 0.033746
30.0 50.0 0.615381 0.045619 0.045619 0.053157 0.053157
