# Version 1.0
# DOI https://doi.org/10.1007/JHEP11%282018%29013
# Source https://www.hepdata.net/download/table/ins1657384/Table%208/1/yaml
# Experiment ALICE
# System PbPb5020
# Centrality 20-30
# XY PT RAA
# Label xmin xmax y stat,low stat,high sys,low sys,high 
0.15 0.2 0.240708 0.00016433 0.00016433 0.012628 0.012628
0.2 0.25 0.246369 9.7123e-05 9.7123e-05 0.0090009 0.0090009
0.25 0.3 0.256647 8.6158e-05 8.6158e-05 0.0080228 0.0080228
0.3 0.35 0.269387 8.3565e-05 8.3565e-05 0.0072018 0.0072018
0.35 0.4 0.282325 8.5512e-05 8.5512e-05 0.0072605 0.0072605
0.4 0.45 0.295954 8.9392e-05 8.9392e-05 0.0077713 0.0077713
0.45 0.5 0.309645 9.7439e-05 9.7439e-05 0.0082643 0.0082643
0.5 0.55 0.323968 0.00010835 0.00010835 0.0084508 0.0084508
0.55 0.6 0.337932 0.0001206 0.0001206 0.0083249 0.0083249
0.6 0.65 0.351662 0.00013411 0.00013411 0.0083819 0.0083819
0.65 0.7 0.364769 0.00015067 0.00015067 0.0083722 0.0083722
0.7 0.75 0.377508 0.00016805 0.00016805 0.0082471 0.0082471
0.75 0.8 0.389842 0.0001852 0.0001852 0.0083083 0.0083083
0.8 0.85 0.401538 0.0002078 0.0002078 0.0080566 0.0080566
0.85 0.9 0.413197 0.0002267 0.0002267 0.0079134 0.0079134
0.9 0.95 0.423485 0.0002516 0.0002516 0.0074353 0.0074353
0.95 1.0 0.433284 0.00027489 0.00027489 0.0078584 0.0078584
1.0 1.1 0.446277 0.00021588 0.00021588 0.0082449 0.0082449
1.1 1.2 0.462491 0.00024736 0.00024736 0.0083742 0.0083742
1.2 1.4 0.482594 0.00017437 0.00017437 0.0095197 0.0095197
1.4 1.6 0.503165 0.00021792 0.00021792 0.010837 0.010837
1.6 1.8 0.517984 0.00026409 0.00026409 0.012458 0.012458
1.8 2.0 0.523636 0.00030765 0.00030765 0.013871 0.013871
2.0 2.2 0.524784 0.00042011 0.00042011 0.014019 0.014019
2.2 2.4 0.517433 0.00048191 0.00048191 0.014238 0.014238
2.4 2.6 0.505704 0.00053871 0.00053871 0.013696 0.013696
2.6 2.8 0.488185 0.00059138 0.00059138 0.013908 0.013908
2.8 3.0 0.466699 0.00064927 0.00064927 0.013128 0.013128
3.0 3.2 0.446322 0.00068913 0.00068913 0.012587 0.012587
3.2 3.6 0.413696 0.00050578 0.00050578 0.011704 0.011704
3.6 4.0 0.368801 0.00057648 0.00057648 0.010289 0.010289
4.0 5.0 0.315144 0.0004535 0.0004535 0.0089208 0.0089208
5.0 6.0 0.259074 0.00062926 0.00062926 0.0063412 0.0063412
6.0 8.0 0.240468 0.0007179 0.0007179 0.0056362 0.0056362
8.0 10.0 0.255147 0.001465 0.001465 0.0064061 0.0064061
10.0 13.0 0.284281 0.002411 0.002411 0.0088427 0.0088427
13.0 20.0 0.338241 0.004273 0.004273 0.015368 0.015368
20.0 30.0 0.451159 0.01409 0.01409 0.026637 0.026637
30.0 50.0 0.577559 0.04087 0.04087 0.044145 0.044145
